person_id,age,region,monthly_income,num_credit_lines,total_debt,debt_to_income_ratio,credit_utilization,late_payments_12m,account_open_date,default_probability,risk_segment,default_flag,ingestion_date
1,43,GBA Sur,1424.28,1,468.63,0.3288,0.5357,1,2015-03-07,0.1764,Medio,1,2026-08-25
2,27,Tucuman,394.46,2,130.72,0.3306,0.2584,0,2011-07-28,0.0982,Bajo,0,2026-08-25
3,49,Tucuman,923.47,1,1138.82,1.2319,0.6094,4,2011-04-28,0.6692,Muy Alto,1,2026-08-25
4,51,Tucuman,654.42,1,313.09,0.4777,0.0447,3,2015-04-06,0.1895,Medio,0,2026-08-25
5,18,Tucuman,3772.94,3,2909.62,0.771,0.5577,0,2011-04-29,0.1555,Medio,0,2026-08-25
6,24,Cordoba,569.6,3,506.35,0.8874,0.3336,3,2009-12-10,0.3911,Alto,1,2026-08-25
7,41,Cordoba,518.31,3,922.12,1.7757,0.7646,5,2015-12-15,0.8809,Muy Alto,0,2026-08-25
8,36,Mendoza,297.56,1,24.61,0.0824,0.3252,2,2019-07-04,0.1592,Medio,0,2026-08-25
9,39,GBA Sur,620.81,1,76.77,0.1235,0.2619,1,2018-04-04,0.1057,Bajo,0,2026-08-25
10,29,GBA Norte,1002.34,2,73.3,0.0731,0.3507,1,2015-11-09,0.1113,Bajo,0,2026-08-25
11,50,Mendoza,1680.17,1,1667.39,0.9918,0.3847,1,2022-06-17,0.2444,Medio,0,2026-08-25
12,49,CABA,651.79,3,31.93,0.0489,0.6818,2,2013-04-04,0.2449,Medio,1,2026-08-25
13,40,GBA Sur,1706.93,1,270.12,0.1582,0.2931,0,2020-10-24,0.0721,Bajo,0,2026-08-25
14,53,Mendoza,1013.0,2,426.21,0.4203,0.507,0,2011-09-24,0.1431,Bajo,0,2026-08-25
15,45,Santa Fe,815.03,2,49.65,0.0608,0.139,0,2021-01-13,0.0568,Bajo,0,2026-08-25
16,29,GBA Sur,1026.6,0,3015.47,2.9345,0.586,2,2016-05-23,0.8629,Muy Alto,1,2026-08-25
17,44,GBA Sur,1934.91,4,318.99,0.1648,0.3891,1,2018-03-31,0.1128,Bajo,0,2026-08-25
18,28,GBA Sur,964.58,2,542.41,0.5617,0.4772,1,2011-03-12,0.2132,Medio,0,2026-08-25
19,50,Santa Fe,645.83,2,57.69,0.0892,0.0499,0,2022-10-29,0.0512,Bajo,0,2026-08-25
20,39,GBA Norte,1198.16,2,2010.33,1.6765,0.1937,0,2019-05-18,0.2717,Medio,0,2026-08-25
21,37,GBA Oeste,1181.28,4,176.39,0.1492,0.7382,0,2015-11-04,0.1569,Medio,0,2026-08-25
22,31,GBA Norte,871.46,0,785.38,0.9002,0.1343,2,2023-11-17,0.2333,Medio,0,2026-08-25
23,54,Santa Fe,1646.0,3,1207.04,0.7329,0.5017,0,2021-03-03,0.1748,Medio,0,2026-08-25
24,38,Tucuman,366.92,2,1360.8,3.6986,0.5858,2,2019-10-07,0.941,Muy Alto,1,2026-08-25
25,34,CABA,1141.41,2,298.44,0.2612,0.325,1,2016-03-26,0.1253,Bajo,0,2026-08-25
26,35,GBA Sur,1402.03,3,38.45,0.0274,0.3295,0,2012-02-24,0.0703,Bajo,0,2026-08-25
27,46,Cordoba,548.76,3,219.25,0.3988,0.1945,1,2010-05-15,0.1246,Bajo,0,2026-08-25
28,44,GBA Norte,533.3,2,211.16,0.3952,0.3227,0,2019-08-25,0.1122,Bajo,0,2026-08-25
29,44,GBA Norte,1588.52,2,406.16,0.2555,0.4269,2,2012-09-27,0.1835,Medio,0,2026-08-25
30,45,CABA,1729.34,4,266.82,0.1542,0.4579,0,2014-08-22,0.0936,Bajo,0,2026-08-25
31,65,GBA Oeste,1966.75,3,1890.83,0.9609,0.3474,0,2013-02-26,0.1628,Medio,0,2026-08-25
32,35,GBA Norte,705.33,3,528.1,0.7477,0.7449,1,2009-04-27,0.3572,Alto,0,2026-08-25
33,33,CABA,1056.57,1,286.31,0.2707,0.5352,1,2015-01-18,0.1765,Medio,0,2026-08-25
34,30,GBA Oeste,1112.67,2,310.44,0.2788,0.4833,1,2020-08-18,0.1638,Medio,0,2026-08-25
35,47,Cordoba,499.82,3,230.33,0.4599,0.0654,3,2012-04-12,0.1965,Medio,0,2026-08-25
36,53,Tucuman,1114.98,3,401.83,0.3601,0.5545,0,2012-07-18,0.1436,Bajo,0,2026-08-25
37,38,GBA Sur,1045.97,2,499.94,0.4775,0.3987,1,2019-11-11,0.1734,Medio,0,2026-08-25
38,29,GBA Sur,1352.24,1,267.46,0.1976,0.3782,0,2020-03-11,0.0917,Bajo,1,2026-08-25
39,30,CABA,725.22,3,199.03,0.2741,0.2989,0,2010-05-27,0.0946,Bajo,0,2026-08-25
40,47,Santa Fe,1800.12,1,427.57,0.2374,0.6003,0,2021-12-09,0.1262,Bajo,0,2026-08-25
41,48,CABA,1058.19,4,107.28,0.1013,0.5285,0,2011-03-13,0.1087,Bajo,0,2026-08-25
42,46,Tucuman,2230.88,0,550.98,0.2469,0.6411,0,2016-02-06,0.1284,Bajo,0,2026-08-25
43,32,GBA Norte,1365.09,1,175.56,0.1285,0.5606,0,2022-12-14,0.1144,Bajo,0,2026-08-25
44,42,CABA,1131.49,0,383.98,0.3391,0.4892,1,2015-08-22,0.1725,Medio,0,2026-08-25
45,41,GBA Oeste,591.11,0,21.71,0.0367,0.7817,0,2010-06-29,0.1622,Medio,0,2026-08-25
46,42,Cordoba,561.81,3,298.47,0.5303,0.655,0,2010-11-21,0.2102,Medio,0,2026-08-25
47,50,Cordoba,2134.64,1,243.66,0.1141,0.522,0,2014-08-11,0.094,Bajo,0,2026-08-25
48,42,GBA Norte,1493.79,1,504.93,0.3378,0.4672,0,2015-09-01,0.1178,Bajo,0,2026-08-25
49,48,Mendoza,901.52,6,207.2,0.2296,0.2753,0,2018-02-05,0.0835,Bajo,0,2026-08-25
50,40,CABA,819.71,3,172.02,0.2096,0.5889,1,2016-06-27,0.1851,Medio,0,2026-08-25
51,43,Tucuman,1106.99,3,569.73,0.5142,0.6867,1,2018-07-01,0.2655,Medio,1,2026-08-25
52,47,GBA Sur,575.98,3,522.31,0.9052,0.4226,1,2009-12-03,0.2715,Medio,1,2026-08-25
53,22,GBA Norte,729.33,0,62.93,0.0862,0.6536,0,2021-06-03,0.1394,Bajo,0,2026-08-25
54,36,Cordoba,1296.21,1,2599.09,2.0036,0.3031,3,2017-08-17,0.6477,Muy Alto,0,2026-08-25
55,34,GBA Sur,1372.89,2,738.42,0.5375,0.4829,1,2012-08-06,0.1995,Medio,0,2026-08-25
56,32,CABA,805.75,1,211.46,0.2621,0.4537,0,2021-11-01,0.1184,Bajo,0,2026-08-25
57,36,GBA Norte,2078.02,1,624.16,0.3002,0.3182,1,2019-12-23,0.1136,Bajo,0,2026-08-25
58,57,Cordoba,1675.71,2,521.32,0.3109,0.1454,0,2017-04-16,0.0651,Bajo,0,2026-08-25
59,29,Santa Fe,657.63,1,106.45,0.1616,0.4979,1,2014-10-28,0.1593,Medio,0,2026-08-25
60,51,GBA Sur,608.22,1,1282.39,2.105,0.6303,3,2009-09-09,0.8018,Muy Alto,1,2026-08-25
61,19,GBA Oeste,1217.26,1,471.43,0.387,0.1978,0,2013-12-09,0.0847,Bajo,0,2026-08-25
62,35,GBA Sur,787.64,1,482.89,0.6123,0.5014,1,2010-11-21,0.2338,Medio,0,2026-08-25
63,41,CABA,746.43,3,131.05,0.1753,0.3202,1,2020-01-04,0.1199,Bajo,0,2026-08-25
64,47,GBA Sur,1123.5,3,274.33,0.244,0.3952,0,2019-06-18,0.1001,Bajo,0,2026-08-25
65,48,GBA Sur,1411.39,2,198.48,0.1405,0.6782,2,2020-01-13,0.2415,Medio,0,2026-08-25
66,49,Santa Fe,1463.09,4,1747.08,1.1933,0.7445,4,2015-12-18,0.6951,Muy Alto,1,2026-08-25
67,35,CABA,994.46,4,334.66,0.3362,0.1565,0,2015-02-24,0.0764,Bajo,0,2026-08-25
68,34,GBA Norte,350.24,1,144.63,0.4118,0.21,0,2009-05-17,0.0984,Bajo,0,2026-08-25
69,50,GBA Oeste,1580.43,3,699.47,0.4423,0.4078,3,2012-02-06,0.2736,Medio,0,2026-08-25
70,37,GBA Norte,678.29,2,156.21,0.23,0.3223,1,2014-10-26,0.1283,Bajo,0,2026-08-25
71,24,GBA Sur,1075.5,1,4148.97,3.8541,0.5099,8,2010-08-15,0.9919,Muy Alto,1,2026-08-25
72,26,GBA Oeste,879.85,3,154.73,0.1757,0.2744,1,2022-04-28,0.111,Bajo,0,2026-08-25
73,28,CABA,2807.81,2,1216.48,0.4331,0.6148,0,2011-07-07,0.1387,Bajo,1,2026-08-25
74,45,GBA Norte,2629.81,5,1976.89,0.7514,0.389,1,2009-10-20,0.1791,Medio,1,2026-08-25
75,41,GBA Oeste,808.26,1,244.14,0.3017,0.5609,0,2010-03-27,0.1442,Bajo,0,2026-08-25
76,48,Santa Fe,580.11,1,193.15,0.3324,0.7114,2,2021-03-11,0.321,Medio,1,2026-08-25
77,34,GBA Sur,542.46,2,98.21,0.1807,0.6008,0,2018-04-10,0.1424,Bajo,0,2026-08-25
78,41,CABA,1124.32,3,414.81,0.3686,0.0634,0,2009-08-02,0.066,Bajo,0,2026-08-25
79,47,Cordoba,804.08,0,1443.0,1.7924,0.7999,6,2014-10-09,0.9156,Muy Alto,1,2026-08-25
